id	supported by	compatible with	conflicts with	is trivial in
mrcaott26923ott261881	node Tn13587458 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott277161ott549971	node node23 for https://tree.opentreeoflife.org/curator/study/view/ot_635/?tab=trees&tree=tree1			
mrcaott30860ott184765	node Tn13587400 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott315256ott343448				node ott315256 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott315256ott343448	node node8 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1			
mrcaott315256ott693721				node ott315256 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott315256ott693721	node node10 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1			
mrcaott3261ott186917	node Tn13587505 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott3261ott319736	node Tn13587442 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott3261ott50908			node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott3261ott50908			node node27 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott3261ott50908			node node5 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott3261ott50908	node Tn13587439 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott3261ott50908	node Tn8979931 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott3261ott9875	node Tn13587480 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott3261ott9881	node Tn13587472 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott341161ott782163	node Tn8968561 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott341161ott904307	node Tn8968572 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott343454ott421562	node node19 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1			
mrcaott343454ott918537	node node17 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1			
mrcaott343456ott3624246				node ott343456 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott343456ott3624246	node Tn8979945 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott343933ott1070414	node node27 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott343933ott1070418	node node31 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott343933ott976194	node node29 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott343941ott362803				node ott804481 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott343941ott362803	node node39 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott343941ott804481				node ott804481 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott343941ott804481	node node43 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
mrcaott3623457ott3623465	node Tn8968598 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott3623472ott3623475	node node17 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1			
mrcaott3623485ott3623488	node node24 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1			
mrcaott3623544ott3623550	node Tn8987751 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott3623544ott3623568	node Tn8987705 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott3623544ott3623570	node Tn8987727 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott3624058ott3624075	node node81 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624060ott3624157	node node93 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624060ott3624207	node node97 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624060ott3624264	node node98 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624062ott3624064	node node128 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624062ott3624076	node node126 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624075ott3624077	node node86 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624151ott3624319	node node114 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624157ott3624158	node node94 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624162ott3624296	node node65 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624213ott3624254	node node162 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott3624213ott3624255	node node164 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott3624220ott3624225	node Tn8979944 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott3624246ott3624293	node Tn8979959 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott3624255ott3624280	node node166 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott3624282ott3624284	node node26 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott3624283ott3624322	node node29 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott362799ott645295	node node7 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1			
