id	supported by	compatible with	conflicts with	is trivial in
mrcaott206723ott220060			node node1174734 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott206723ott220060			node node1174736 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott206723ott220060			node node1174746 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott206723ott220060			node node1174748 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott206723ott220060		node Tn11887327 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459		
mrcaott206723ott220060	node node1152832 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott206723ott220060	node node1173851 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott206723ott499772	node node1174443 for https://tree.opentreeoflife.org/curator/study/view/pg_2921/?tab=trees&tree=tree6749			
mrcaott206723ott499772	node node1174789 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott206723ott5092947	node node1174452 for https://tree.opentreeoflife.org/curator/study/view/pg_2921/?tab=trees&tree=tree6749			
mrcaott206723ott5092947	node node1174801 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott206723ott845540				node ott5740116 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459
mrcaott206723ott845540				node ott5740116 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott206723ott845540				node ott5740116 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott206723ott845540				node ott5740116 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745
mrcaott206723ott845540	node node1174763 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott206723ott845546	node node1174451 for https://tree.opentreeoflife.org/curator/study/view/pg_2921/?tab=trees&tree=tree6749			
mrcaott206723ott845546	node node1174797 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott206723ott874467	node node1174442 for https://tree.opentreeoflife.org/curator/study/view/pg_2921/?tab=trees&tree=tree6749			
mrcaott206723ott874467	node node1174777 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott212699ott2958855		node node1152829 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603		
mrcaott212699ott2958855		node node1173855 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744		
mrcaott212699ott2958855		node node1174037 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott212699ott2958855	node node1174908 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott212699ott324426		node node1152829 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603		
mrcaott212699ott324426		node node1173855 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744		
mrcaott212699ott324426		node node1174037 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott212699ott324426	node node1174910 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott212699ott672344				node ott5740095 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott212699ott672344				node ott5740095 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott212699ott672344		node node1174039 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott212699ott672344	node node1174914 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott214567ott436305	node node1174851 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott214567ott436305	node node9 for https://tree.opentreeoflife.org/curator/study/view/ot_163/?tab=trees&tree=tree1			
mrcaott214567ott474599				node ott826819 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751
mrcaott214567ott474599	node node10 for https://tree.opentreeoflife.org/curator/study/view/ot_163/?tab=trees&tree=tree1			
mrcaott214567ott680015	node node1174845 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott214567ott680015	node node7 for https://tree.opentreeoflife.org/curator/study/view/ot_163/?tab=trees&tree=tree1			
mrcaott220060ott2958597				node ott220060 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459
mrcaott220060ott2958597	node node1174749 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott220060ott324421				node ott324422 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott220060ott324421				node ott324422 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott220060ott324421			node node1174734 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott220060ott324421			node node1174736 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott220060ott324421			node node1174746 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott220060ott324421			node node1174748 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott220060ott324421		node node1174018 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott220060ott324421	node Tn11887393 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459			
mrcaott220060ott827098				node ott220060 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459
mrcaott220060ott827098	node node1174751 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott245803ott269135	node node1152918 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott245803ott269135	node node1173774 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott245803ott269135	node node15 for https://tree.opentreeoflife.org/curator/study/view/ot_71/?tab=trees&tree=tree1			
mrcaott245803ott269135	node node25 for https://tree.opentreeoflife.org/curator/study/view/ot_74/?tab=trees&tree=tree1			
mrcaott245803ott502933				node ott502933 for https://tree.opentreeoflife.org/curator/study/view/ot_74/?tab=trees&tree=tree1
