id	supported by	compatible with	conflicts with	is trivial in
ott142445		node node3 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1		
ott211889		node node4 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1		
ott3407760				node ott5048894 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
ott3407760				node ott5048894 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott3407760	node node14 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1			
Terminal node id	included in
ott3407773	node ott5048971 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott3407773	node ott5048971 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott3407773	node ott5048971 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott3407773	node ott5048971 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott153849	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott153849	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott153849	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott153849	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott153849	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott3407776	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott3407776	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott3407776	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott3407776	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott3407775	node ott3407775 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott3407775	node ott3407775 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott4606619	node ott4606620 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606615	node ott5048915 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5048964	node ott5048964 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott1099034	node ott1099034 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott1099034	node ott1099034 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott1099036	node ott1099034 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott1099036	node ott1099034 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott264009	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
ott264009	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott264009	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott264009	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
ott264009	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott264009	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott264009	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott264009	node ott914415 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott264007	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
ott264007	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott264007	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott264007	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott264007	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott264007	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048876	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5048876	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott5048876	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048876	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048876	node ott5048876 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott264003	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
ott264003	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott264003	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott264003	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott264003	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott264003	node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048921	node ott5048921 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048921	node ott5048921 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048920	node ott5048920 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott5048920	node ott5048920 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048920	node ott5048920 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott3407764	node ott3407764 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott3407764	node ott3407764 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
ott4606636	node ott5048964 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5048923	node ott5048923 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048923	node ott5048923 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048895	node ott5048895 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048895	node ott5048895 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048895	node ott5048895 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048894	node ott5048894 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048894	node ott5048894 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5048894	node ott5048894 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
ott5048894	node ott5048894 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048894	node ott5048894 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048896	node ott5048896 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048896	node ott5048896 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048896	node ott5048896 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606637	node ott5048974 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606637	node ott5048974 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott4606637	node ott5048974 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048890	node ott5048890 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048890	node ott5048890 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048890	node ott5048890 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048893	node ott5048893 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048893	node ott5048893 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048893	node ott5048893 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048892	node ott5048892 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048892	node ott5048892 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048892	node ott5048892 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048919	node ott5048920 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott5048919	node ott5048920 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048919	node ott5048920 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606617	node ott4606618 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott142447	node ott142446 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott142446	node ott142446 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott142444	node ott142444 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott142444	node ott142444 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott142444	node ott142444 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
